aclu_id,display_name,running_in_2018,running_for_president
809,Rep. Robert Pittenger,1,0
806,Rep. Patrick McHenry,1,0
804,Rep. Mark Meadows,1,0
799,Rep. Alma Adams,1,0
810,Rep. Ted Budd,1,0
816,Rep. Kevin Cramer,1,0
821,Rep. Jeff Fortenberry,1,0
820,Rep. Don Bacon,1,0
817,Rep. Adrian Smith,1,0
823,Rep. Carol Shea-Porter,0,0
822,"Rep. Ann ""Annie"" Kuster",1,0
831,Rep. Donald Norcross,1,0
833,Rep. Frank LoBiondo,0,0
839,"Rep. Thomas ""Tom"" MacArthur",1,0
829,Rep. Chris Smith,1,0
835,Rep. Josh Gottheimer,1,0
834,Rep. Frank Pallone,1,0
836,Rep. Leonard Lance,1,0
826,Rep. Albio Sires,1,0
827,Rep. Bill Pascrell,1,0
832,Rep. Donald Payne,1,0
838,Rep. Rodney Frelinghuysen,0,0
828,Rep. Bonnie Watson Coleman,1,0
842,Rep. Michelle Lujan Grisham,0,0
843,Rep. Steve Pearce,0,0
840,"Rep. Ben ""Ben Ray"" Lujan",1,0
847,Rep. Dina Titus,1,0
849,Rep. Mark Amodei,1,0
848,"Rep. Jacklyn ""Jacky"" Rosen",0,0
850,Rep. Ruben Kihuen,0,0
870,Rep. Lee Zeldin,1,0
874,Rep. Pete King,1,0
876,"Rep. Thomas ""Tom"" Suozzi",1,0
868,Rep. Kathleen Rice,1,0
861,Rep. Gregory Meeks,1,0
860,Rep. Grace Meng,1,0
872,Rep. Nydia Velazquez,1,0
862,Rep. Hakeem Jeffries,1,0
878,Rep. Yvette Clarke,1,0
863,Rep. Jerry Nadler,1,0
857,"Rep. Daniel ""Dan"" Donovan",1,0
853,Rep. Carolyn Maloney,1,0
851,Rep. Adriano Espaillat,1,0
867,"Rep. Joseph ""Joe"" Crowley",1,0
866,Rep. Jose Serrano,1,0
858,Rep. Eliot Engel,1,0
871,Rep. Nita Lowey,1,0
875,Rep. Sean Maloney,1,0
864,Rep. John Faso,1,0
873,Rep. Paul Tonko,1,0
859,Rep. Elise Stefanik,1,0
856,Rep. Claudia Tenney,1,0
877,Rep. Tom Reed,1,0
865,Rep. John Katko,1,0
852,Rep. Brian Higgins,1,0
855,Rep. Chris Collins,1,0
892,Rep. Steve Chabot,1,0
881,Rep. Brad Wenstrup,1,0
885,Rep. Joyce Beatty,1,0
884,Rep. Jim Jordan,1,0
889,Rep. Bob Latta,1,0
