aclu_id,display_name,running_for_president,running_for_next_term,seat_up
862,Rep. Hakeem Jeffries,0,1,1
863,Rep. Jerry Nadler,0,1,1
865,Rep. John Katko,0,1,1
866,Rep. Jose Serrano,0,0,1
868,Rep. Kathleen Rice,0,1,1
870,Rep. Lee Zeldin,0,1,1
871,Rep. Nita Lowey,0,0,1
872,Rep. Nydia Velazquez,0,1,1
873,Rep. Paul Tonko,0,1,1
874,Rep. Pete King,0,0,1
875,Rep. Sean Maloney,0,1,1
876,Rep. Tom Suozzi,0,1,1
877,Rep. Tom Reed,0,1,1
878,Rep. Yvette Clarke,0,1,1
879,Rep. Bill Johnson,0,1,1
880,Rep. Bob Gibbs,0,1,1
881,Rep. Brad Wenstrup,0,1,1
882,Rep. Dave Joyce,0,1,1
884,Rep. Jim Jordan,0,1,1
885,Rep. Joyce Beatty,0,1,1
886,Rep. Marcia Fudge,0,1,1
887,Rep. Marcy Kaptur,0,1,1
888,Rep. Mike Turner,0,1,1
889,Rep. Bob Latta,0,1,1
892,Rep. Steve Chabot,0,1,1
893,Rep. Steve Stivers,0,1,1
894,Rep. Tim Ryan,0,1,1
895,Rep. Warren Davidson,0,1,1
896,Rep. Frank Lucas,0,1,1
899,Rep. Markwayne Mullin,0,1,1
901,Rep. Tom Cole,0,1,1
902,Rep. Earl Blumenauer,0,1,1
903,Rep. Greg Walden,0,0,1
905,Rep. Kurt Schrader,0,1,1
906,Rep. Pete DeFazio,0,1,1
908,Rep. Suzanne Bonamici,0,1,1
910,Rep. Brendan Boyle,0,1,1
911,Rep. Brian Fitzpatrick,0,1,1
912,Rep. Dwight Evans,0,1,1
913,Rep. Glenn Thompson,0,1,1
915,Rep. Lloyd Smucker,0,1,1
917,Rep. Matt Cartwright,0,1,1
918,Rep. Mike Doyle,0,1,1
919,Rep. Mike Kelly,0,1,1
924,Rep. Scott Perry,0,1,1
927,Rep. David Cicilline,0,1,1
928,Rep. Jim Langevin,0,1,1
931,Rep. James Clyburn,0,1,1
932,Rep. Jeff Duncan,0,1,1
933,Rep. Joe Wilson,0,1,1
936,Rep. Ralph Norman,0,1,1
938,Rep. Tom Rice,0,1,1
944,Rep. Chuck Fleischmann,0,1,1
945,Rep. David Kustoff,0,1,1
946,Rep. Phil Roe,0,0,1
948,Rep. Jim Cooper,0,1,1
952,Rep. Scott DesJarlais,0,1,1
953,Rep. Steve Cohen,0,1,1
954,Rep. Al Green,0,1,1
956,Rep. Bill Flores,0,0,1
957,Rep. Brian Babin,0,1,1
958,Rep. Eddie Bernice Johnson,0,1,1
959,Rep. Filemon Vela,0,1,1
961,Rep. Henry Cuellar,0,1,1
963,Rep. Joaquin Castro,0,1,1
964,Rep. Jodey Arrington,0,1,1
966,Rep. John Carter,0,1,1
969,Rep. John Ratcliffe,0,0,1
970,Rep. Mike Conaway,0,0,1
971,Rep. Kay Granger,0,1,1
972,Rep. Kenny Marchant,0,0,1
973,Rep. Kevin Brady,0,1,1
975,Rep. Lloyd Doggett,0,1,1
976,Rep. Louie Gohmert,0,1,1
977,Rep. Mac Thornberry,0,0,1
978,Rep. Marc Veasey,0,1,1
979,Rep. Michael Burgess,0,1,1
980,Rep. Mike McCaul,0,1,1
981,Rep. Pete Olson,0,0,1
983,Rep. Randy Weber,0,1,1
984,Rep. Roger Williams,0,1,1
986,Rep. Sheila Jackson Lee,0,1,1
989,Rep. Vicente Gonzalez,0,1,1
990,Rep. Will Hurd,0,0,1
991,Rep. Chris Stewart,0,1,1
995,Rep. Rob Bishop,0,0,1
996,Rep. A. Donald McEachin,0,1,1
1000,Rep. Don Beyer,0,1,1
1001,Rep. Gerry Connolly,0,1,1
1002,Rep. Morgan Griffith,0,1,1
1004,Rep. Bobby Scott,0,1,1
1005,Rep. Rob Wittman,0,1,1
1012,Rep. Peter Welch,0,1,1
1013,Rep. Adam Smith,0,1,1
1014,Rep. Cathy McMorris Rodgers,0,1,1
1015,Rep. Dan Newhouse,0,1,1
1017,Rep. Denny Heck,0,0,1
1018,Rep. Derek Kilmer,0,1,1
1019,Rep. Jaime Herrera Beutler,0,1,1
1022,Rep. Pramila Jayapal,0,1,1
1023,Rep. Rick Larsen,0,1,1
1024,Rep. Suzan Delbene,0,1,1
1025,Rep. Jim Sensenbrenner,0,0,1
1026,Rep. Glenn Grothman,0,1,1
1027,Rep. Gwen Moore,0,1,1
1028,Rep. Mark Pocan,0,1,1
1029,Rep. Mike Gallagher,0,1,1
1032,Rep. Ron Kind,0,1,1
1033,Rep. Sean Duffy,0,0,1
1035,Rep. Alex Mooney,0,1,1
1036,Rep. David McKinley,0,1,1
1041,Rep. Liz Cheney,0,1,1
1043,Rep. Debbie Lesko,0,1,1
1045,Rep. Collin Peterson,0,1,1
1047,Rep. Greg Gianforte,0,0,1
1048,Rep. Conor Lamb,0,1,1
1049,Rep. John Curtis,0,1,1
11512,Rep. Michael Cloud,0,1,1
11514,Rep. Troy Balderson,0,1,1
11515,Rep. Ann Kirkpatrick,0,1,1
11516,Rep. Greg Stanton,0,1,1
11517,Rep. Gil Cisneros,0,1,1
11518,Rep. Harley Rouda,0,1,1
11519,Rep. Josh Harder,0,1,1
11520,Rep. Katie Hill,0,0,1
11521,Rep. Katie Porter,0,1,1
11522,Rep. Mike Levin,0,1,1
11523,Rep. TJ Cox,0,1,1
11524,Rep. Jason Crow,0,1,1
11525,Rep. Joe Neguse,0,1,1
11526,Rep. Jahana Hayes,0,1,1
11527,Rep. Debbie Mucarsel-Powell,0,1,1
11528,Rep. Donna Shalala,0,1,1
11529,Rep. Michael Waltz,0,1,1
11531,Rep. Ross Spano,0,0,1
11532,Rep. Greg Steube,0,1,1
11533,Rep. Lucy McBath,0,1,1
11535,Rep. Ed Case,0,1,1
