Representative,State + District,Party,Total percentage score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,H65: On H.R. 7: No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"H76: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","H77: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H99: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...","H202: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",H244: On H.R. 1180: Working Families Flexibility Act of 2017,H256: On H.R. 1628: American Health Care Act of 2017,H265: On H.R. 115: Thin Blue Line Act,H268: On H.R. 1039: Probation Officer Protection Act of 2017,H342: On H.R. 3003: No Sanctuary for Criminals Act,H344: On H.R. 3004: Kate's Law,H369: On H.Amdt. 183 (Hartzler) to H.R. 2810 (115th): To prohibit funds for medical treatment (other than mental health treatment) related to ...,H372: On H.Amdt. 185 (Franks) to H.R. 2810 (115th): To require the Secretary of Defense to conduct strategic assessments of the use ...,H442: On Ordering the Previous Question: H RES 500 Providing for consideration of the bill (H.R. 3354) making appropriations for the Dept. of the Interior; providing for consideration of motions to s,H495: On H.Amdt. 383 (Scott) to H.R. 3354 (115th): To strike section prohibiting the EEOC from using funds to implement pay data ...,"H514: On H.Amdt. 427 (Ellison) to H.R. 3354 (115th): At the end of division F (before the short title), insert the following: ...",H517: On H.R. 3697: Criminal Alien Gang Member Removal Act,H518: On H.Amdt. 432 (Palmer) to H.R. 3354 (115th): To prohibit funds from being used to implement the District of Columbia's Reproductive ...,H549: On H.R. 36: Pain-Capable Unborn Child Protection Act,H14: On H.Amdt. 510 (Amash) to S. 139 (115th): To replace the text of S. 139 with the text of the USA ...,H16: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,H36: On H.R. 4712: Born-Alive Abortion Survivors Protection Act,H80: On H.R. 620: ADA Education and Reform Act of 2017,H91: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"H127: On H.R. 1625: Consolidated Appropriations Act, 2018",H175: On H.R. 2152: Citizens' Right to Know Act of 2018,H188: On H.R. 5698: Protect and Serve Act of 2018,"Judiciary committee vote (H13): Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act",Judiciary committee vote (H14): USCIS Reauthorization Act,Judiciary committee vote (H18): ICE Authorization Act,Judiciary committee vote (H17): Legal Workforce Act,Judiciary committee vote (H1): Poe Amendment #3 to H.R. 3989 (the USA Liberty Act),Intel committee vote on H.R. 4478 (FISA Amendments Reauthorization Act),Judiciary committee vote (H2): Citizens' Right to Know Act of 2017,Judiciary committee vote (H2): FIRST STEP Act
,,,,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed
"Rep. Kenneth ""Ken"" Buck (R-CO-4) ",CO-04,R,9%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Missed,0,Missed,Not on committee,0,0
Rep. Doug Lamborn (R-CO-5),CO-05,R,11%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mike Coffman (R-CO-6),CO-06,R,21%,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ed Perlmutter (D-CO-7),CO-07,D,75%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Larson (D-CT-1),CT-01,D,80%,1,1,0,1,1,1,1,1,1,Missed,1,0,1,1,1,1,1,Missed,Missed,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Joe Courtney (D-CT-2),CT-02,D,78%,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,Missed,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Rosa DeLauro (D-CT-3),CT-03,D,79%,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,Missed,Missed,Missed,Missed,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jim Himes (D-CT-4) ,CT-04,D,79%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,1,Not on committee,Not on committee
Rep. Elizabeth Esty (D-CT-5),CT-05,D,79%,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lisa Blunt Rochester (D-DE-1),DE-01,D,79%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Matt Gaetz (R-FL-1),FL-01,R,9%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Not on committee,0,0
Rep. Neal Dunn (R-FL-2),FL-02,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Theodore ""Ted"" Yoho (R-FL-3)",FL-03,R,15%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,0,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Rutherford (R-FL-4),FL-04,R,3%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,0,0,Not on committee,Not on committee,0
"Rep. Alfred ""Al"" Lawson (D-FL-5)",FL-05,D,67%,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,Missed,Missed,Missed,Missed,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ron DeSantis (R-FL-6),FL-06,R,6%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Missed,Missed,Missed,0,Not on committee,0,0
Rep. Stephanie Murphy (D-FL-7),FL-07,D,64%,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bill Posey (R-FL-8),FL-08,R,17%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Missed,Missed,Missed,Missed,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Darren Soto (D-FL-9),FL-09,D,86%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Valdez ""Val"" Demings (D-FL-10)",FL-10,D,69%,1,1,0,1,1,1,1,1,0,Missed,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not yet on committee,Not yet on committee,Not yet on committee,Not yet on committee,Not yet on committee,Not on committee,1,0
"Rep. Daniel ""Dan"" Webster (R-FL-11)",FL-11,R,15%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Missed,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Gus Bilirakis (R-FL-12),FL-12,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Charles ""Charlie"" Crist (D-FL-13)",FL-13,D,69%,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Missed,Missed,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Kathy Castor (D-FL-14),FL-14,D,75%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dennis Ross (R-FL-15),FL-15,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Vern Buchanan (R-FL-16),FL-16,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tom Rooney (R-FL-17),FL-17,R,4%,0,0,1,0,0,0,0,0,Missed,0,0,0,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
Rep. Brian Mast (R-FL-18),FL-18,R,14%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Francis Rooney (R-FL-19),FL-19,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Alcee Hastings (D-FL-20),FL-20,D,92%,1,Missed,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lois Frankel (D-FL-21),FL-21,D,83%,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,1,Missed,1,Missed,Missed,1,0,0,1,1,0,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ted Deutch (D-FL-22),FL-22,D,77%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Missed,0,0,Missed,0,1,Missed,1,1,1,Not on committee,Missed,0
Rep. Debbie Wasserman Schultz (D-FL-23),FL-23,D,77%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,Missed,1,1,1,1,1,0,0,1,Missed,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Frederica ""Freddi"" Wilson (D-FL-24)",FL-24,D,88%,1,1,0,1,1,1,1,1,Missed,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,1,1,0,0,1,Missed,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mario Diaz-Balart (R-FL-25),FL-25,R,13%,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Missed,Missed,Missed,Missed,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Carlos Curbelo (R-FL-26),FL-26,R,24%,0,0,1,0,Missed,0,0,0,Missed,Missed,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ileana Ros-Lehtinen (R-FL-27),FL-27,R,33%,0,1,1,0,0,Missed,0,1,0,0,1,0,1,1,0,Missed,Missed,Missed,Missed,0,0,0,0,0,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,Not on committee,Not on committee
Rep. Buddy Carter (R-GA-1),GA-01,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Sanford Bishop (D-GA-2),GA-02,D,77%,1,1,1,1,Missed,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Missed,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Drew Ferguson (R-GA-3),GA-03,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Hank Johnson (D-GA-4),GA-04,D,82%,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,Missed,1,1,0,Not on committee,1,0
Rep. John Lewis (D-GA-5),GA-05,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Karen Handel (R-GA-6)*,GA-06,R,0%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not yet on committee,Not yet on committee,Not yet on committee,0,0,Not on committee,0,Missed
Rep. Rob Woodall (R-GA-7),GA-07,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Austin Scott (R-GA-8),GA-08,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Doug Collins (R-GA-9),GA-09,R,3%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,Missed,0,0,0,Not on committee,0,0
Rep. Jody Hice (R-GA-10),GA-10,R,11%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Barry Loudermilk (R-GA-11),GA-11,R,22%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Rick Allen (R-GA-12),GA-12,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. David Scott (D-GA-13),GA-13,D,82%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tom Graves (R-GA-14),GA-14,R,7%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Colleen Hanabusa (D-HI-1),HI-01,D,85%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,Missed,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Tulsi Gabbard (D-HI-2),HI-02,D,88%,Missed,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Missed,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Rodney ""Rod"" Blum (R-IA-1)",IA-01,R,14%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Dave Loebsack (D-IA-2),IA-02,D,79%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. David Young (R-IA-3),IA-03,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Steve King (R-IA-4),IA-04,R,9%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not on committee,0,1
Rep. Raul Labrador (R-ID-1),ID-01,R,21%,0,0,1,0,0,0,0,0,0,0,0,0,Missed,Missed,0,0,0,0,0,0,1,1,0,0,1,1,Missed,Missed,0,Missed,Missed,0,1,Not on committee,0,Missed
Rep. Mike Simpson (R-ID-2),ID-02,R,4%,0,0,1,0,0,Missed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bobby Rush (D-IL-1),IL-01,D,90%,Missed,Missed,Missed,Missed,Missed,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Robin Kelly (D-IL-2),IL-02,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Daniel ""Dan"" Lipinski (D-IL-3)",IL-03,D,46%,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Luis Gutierrez (D-IL-4) ,IL-04,D,89%,1,1,0,1,1,1,1,1,Missed,Missed,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,0,1,1,0,1,1,Missed,1,Missed,Not on committee,Missed,Missed
Rep. Mike Quigley (D-IL-5),IL-05,D,75%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Missed,Not on committee,Not on committee
Rep. Peter Roskam (R-IL-6),IL-06,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Danny Davis (D-IL-7),IL-07,D,88%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Missed,1,0,Missed,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Raja Krishnamoorthi (D-IL-8),IL-08,D,79%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jan Schakowsky (D-IL-9),IL-09,D,89%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Bradley ""Brad"" Schneider (D-IL-10)",IL-10,D,77%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,Not on committee,1,0
Rep. Bill Foster (D-IL-11),IL-11,D,82%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mike Bost (R-IL-12),IL-12,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Rodney Davis (R-IL-13),IL-13,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,Missed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Randy Hultgren (R-IL-14),IL-14,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. John Shimkus (R-IL-15),IL-15,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Adam Kinzinger (R-IL-16),IL-16,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Cheri Bustos (D-IL-17),IL-17,D,75%,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Darin LaHood (R-IL-18),IL-18,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Pete Visclosky (D-IN-1),IN-01,D,86%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jackie Walorski (R-IN-2),IN-02,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Jim Banks (R-IN-3),IN-03,R,7%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Todd Rokita (R-IN-4),IN-04,R,15%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Missed,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Susan Brooks (R-IN-5),IN-05,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Luke Messer (R-IN-6),IN-06,R,7%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missed,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Andre Carson (D-IN-7),IN-07,D,83%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,1,Not on committee,Not on committee
Rep. Larry Bucshon (R-IN-8),IN-08,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Trey Hollingsworth (R-IN-9),IN-09,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Roger Marshall (R-KS-1),KS-01,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Lynn Jenkins (R-KS-2),KS-02,R,7%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Kevin Yoder (R-KS-3),KS-03,R,18%,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Ron Estes (R-KS-4)*,KS-04,R,0%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
