id,path,name
aclu/elections-api/congress_district:108,congress_districts_113/ca/congress_district_113_ca_30.geojson,CA Congressional District 30
aclu/elections-api/congress_district:109,congress_districts_113/ca/congress_district_113_ca_31.geojson,CA Congressional District 31
aclu/elections-api/congress_district:110,congress_districts_113/ca/congress_district_113_ca_32.geojson,CA Congressional District 32
aclu/elections-api/congress_district:111,congress_districts_113/ca/congress_district_113_ca_33.geojson,CA Congressional District 33
aclu/elections-api/congress_district:112,congress_districts_113/ca/congress_district_113_ca_34.geojson,CA Congressional District 34
aclu/elections-api/congress_district:113,congress_districts_113/ca/congress_district_113_ca_35.geojson,CA Congressional District 35
aclu/elections-api/congress_district:114,congress_districts_113/ca/congress_district_113_ca_36.geojson,CA Congressional District 36
aclu/elections-api/congress_district:115,congress_districts_113/ca/congress_district_113_ca_37.geojson,CA Congressional District 37
aclu/elections-api/congress_district:116,congress_districts_113/ca/congress_district_113_ca_38.geojson,CA Congressional District 38
aclu/elections-api/congress_district:117,congress_districts_113/ca/congress_district_113_ca_39.geojson,CA Congressional District 39
aclu/elections-api/congress_district:118,congress_districts_113/ca/congress_district_113_ca_40.geojson,CA Congressional District 40
aclu/elections-api/congress_district:119,congress_districts_113/ca/congress_district_113_ca_41.geojson,CA Congressional District 41
aclu/elections-api/congress_district:120,congress_districts_113/ca/congress_district_113_ca_42.geojson,CA Congressional District 42
aclu/elections-api/congress_district:121,congress_districts_113/ca/congress_district_113_ca_43.geojson,CA Congressional District 43
aclu/elections-api/congress_district:122,congress_districts_113/ca/congress_district_113_ca_44.geojson,CA Congressional District 44
aclu/elections-api/congress_district:123,congress_districts_113/ca/congress_district_113_ca_45.geojson,CA Congressional District 45
aclu/elections-api/congress_district:124,congress_districts_113/ca/congress_district_113_ca_46.geojson,CA Congressional District 46
aclu/elections-api/congress_district:125,congress_districts_113/ca/congress_district_113_ca_47.geojson,CA Congressional District 47
aclu/elections-api/congress_district:126,congress_districts_113/ca/congress_district_113_ca_48.geojson,CA Congressional District 48
aclu/elections-api/congress_district:127,congress_districts_113/ca/congress_district_113_ca_49.geojson,CA Congressional District 49
aclu/elections-api/congress_district:128,congress_districts_113/ca/congress_district_113_ca_50.geojson,CA Congressional District 50
aclu/elections-api/congress_district:129,congress_districts_113/ca/congress_district_113_ca_51.geojson,CA Congressional District 51
aclu/elections-api/congress_district:130,congress_districts_113/ca/congress_district_113_ca_52.geojson,CA Congressional District 52
aclu/elections-api/congress_district:131,congress_districts_113/ca/congress_district_113_ca_53.geojson,CA Congressional District 53
aclu/elections-api/congress_district:132,congress_districts_113/co/congress_district_113_co_01.geojson,CO Congressional District 1
aclu/elections-api/congress_district:133,congress_districts_113/co/congress_district_113_co_02.geojson,CO Congressional District 2
aclu/elections-api/congress_district:134,congress_districts_113/co/congress_district_113_co_03.geojson,CO Congressional District 3
aclu/elections-api/congress_district:135,congress_districts_113/co/congress_district_113_co_04.geojson,CO Congressional District 4
aclu/elections-api/congress_district:136,congress_districts_113/co/congress_district_113_co_05.geojson,CO Congressional District 5
aclu/elections-api/congress_district:137,congress_districts_113/co/congress_district_113_co_06.geojson,CO Congressional District 6
aclu/elections-api/congress_district:138,congress_districts_113/co/congress_district_113_co_07.geojson,CO Congressional District 7
aclu/elections-api/congress_district:139,congress_districts_113/ct/congress_district_113_ct_01.geojson,CT Congressional District 1
aclu/elections-api/congress_district:140,congress_districts_113/ct/congress_district_113_ct_02.geojson,CT Congressional District 2
aclu/elections-api/congress_district:141,congress_districts_113/ct/congress_district_113_ct_03.geojson,CT Congressional District 3
